City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,leningradskiy,69.3833,178.4167,-30.45,100,100,1.37,RU,1675430378
1,brownsville,25.9018,-97.4975,6.97,89,100,4.63,US,1675430378
2,geraldton,-28.7667,114.6,27.23,65,100,3.6,AU,1675430379
3,luderitz,-26.6481,15.1594,23.5,58,85,10.42,NA,1675430379
4,ust-tsilma,65.441,52.1498,-12.72,100,94,0.8,RU,1675430379
5,peniche,39.3558,-9.3811,17.47,52,0,1.44,PT,1675430120
6,albany,42.6001,-73.9662,-11.08,52,7,1.79,US,1675430238
7,punta arenas,-53.15,-70.9167,19.06,52,40,10.8,CL,1675430380
8,porto novo,6.4965,2.6036,31.9,45,81,4.47,BJ,1675430381
9,atuona,-9.8,-139.0333,25.74,77,24,8.34,PF,1675430381
10,jamestown,42.097,-79.2353,-12.21,88,100,5.14,US,1675430381
11,mataura,-46.1927,168.8643,16.37,98,100,1.38,NZ,1675430382
12,busselton,-33.65,115.3333,24.03,41,96,4.52,AU,1675430382
13,hermanus,-34.4187,19.2345,28.78,57,0,8.41,ZA,1675430383
14,mogadishu,2.0371,45.3438,26.75,69,35,9.74,SO,1675430383
15,mount gambier,-37.8333,140.7667,12.98,66,87,4.52,AU,1675430384
16,vaini,-21.2,-175.2,26.09,89,75,4.12,TO,1675430384
17,butaritari,3.0707,172.7902,27.03,79,15,7.98,KI,1675430385
18,carnarvon,-24.8667,113.6333,27.39,69,3,3.82,AU,1675430385
19,srednekolymsk,67.45,153.6833,-29.4,100,100,0.85,RU,1675430385
20,airai,-8.9266,125.4092,15.62,97,100,1.27,TL,1675430386
21,berlevag,70.8578,29.0864,-1.03,59,40,6.17,NO,1675430386
22,vanersborg,58.3807,12.3234,0.88,80,75,7.2,SE,1675430387
23,palana,59.1167,159.9667,-22.23,89,2,2.22,RU,1675430387
24,chuy,-33.6971,-53.4616,21.84,87,82,6.54,UY,1675430388
25,rikitea,-23.1203,-134.9692,25.51,70,47,3.9,PF,1675430222
26,katsuura,35.1333,140.3,6.0,92,100,5.08,JP,1675430388
27,teya,60.3778,92.6267,-17.35,100,100,1.29,RU,1675430389
28,acapulco,16.8634,-99.8901,22.9,73,0,3.09,MX,1675430169
29,broome,42.2506,-75.833,-11.28,75,100,7.2,US,1675430390
30,barrow,71.2906,-156.7887,-24.99,77,20,8.75,US,1675430387
31,khatanga,71.9667,102.5,-37.39,100,46,1.42,RU,1675430391
32,port alfred,-33.5906,26.891,24.54,81,93,0.89,ZA,1675430391
33,salina,38.8403,-97.6114,-12.93,78,0,2.06,US,1675430146
34,tinaquillo,9.9186,-68.3047,24.04,60,12,0.71,VE,1675430392
35,nara,34.6851,135.8049,2.62,55,4,0.19,JP,1675430392
36,miracema do tocantins,-9.5618,-48.3967,27.75,75,23,1.79,BR,1675430393
37,kashi,39.4547,75.9797,-0.44,59,20,2.0,CN,1675430393
38,tubuala,9.5167,-79.0333,25.94,75,41,6.37,PA,1675430393
39,englewood,39.6478,-104.9878,1.47,39,0,4.12,US,1675430394
40,kodiak,57.79,-152.4072,0.73,86,100,0.0,US,1675430394
41,port hardy,50.6996,-127.4199,7.1,81,100,9.26,CA,1675430136
42,san quintin,30.4833,-115.95,14.18,53,100,2.42,MX,1675430395
43,san jeronimo,-11.9472,-75.2829,11.75,74,99,0.68,PE,1675430395
44,kaitangata,-46.2817,169.8464,16.0,98,75,1.05,NZ,1675430396
45,genhe,50.7833,121.5167,-30.55,100,99,0.99,CN,1675430396
46,mar del plata,-38.0023,-57.5575,23.86,66,40,7.2,AR,1675430327
47,mersin,36.862,34.6509,11.26,36,100,1.49,TR,1675430193
48,puerto ayora,-0.7393,-90.3518,24.19,93,68,0.45,EC,1675430218
49,san policarpo,12.1791,125.5072,26.25,84,75,7.58,PH,1675430397
50,caranavi,-15.8167,-67.55,18.09,97,100,0.26,BO,1675430397
51,bethel,41.3712,-73.414,-4.43,48,40,6.69,US,1675430387
52,port elizabeth,-33.918,25.5701,27.28,57,75,5.14,ZA,1675430398
53,quatre cocos,-20.2078,57.7625,28.06,76,29,5.77,MU,1675430398
54,hualmay,-11.0964,-77.6139,22.14,84,100,3.03,PE,1675430399
55,narsaq,60.9167,-46.05,-12.88,86,95,1.79,GL,1675430399
56,ushuaia,-54.8,-68.3,16.81,51,75,5.14,AR,1675430400
57,kerouane,9.2667,-9.0167,35.13,9,5,1.92,GN,1675430400
58,dingle,10.9995,122.6711,23.77,91,6,3.47,PH,1675430401
59,esso,55.9333,158.7,-20.55,98,100,1.62,RU,1675430401
60,iqaluit,63.7506,-68.5145,-36.15,61,75,7.2,CA,1675430402
61,dikson,73.5069,80.5464,-15.25,96,100,0.68,RU,1675430404
62,beloha,-25.1667,45.05,28.06,61,100,6.51,MG,1675430407
63,ribeira grande,38.5167,-28.7,17.22,82,20,7.6,PT,1675430411
64,yuryevets,57.3201,43.1041,-3.17,96,100,4.04,RU,1675430414
65,east london,-33.0153,27.9116,25.52,73,40,3.6,ZA,1675430415
66,hobart,-42.8794,147.3294,15.92,56,100,7.2,AU,1675430418
67,cherskiy,68.75,161.3,-22.86,100,100,0.64,RU,1675430424
68,qaanaaq,77.484,-69.3632,-20.18,62,84,3.62,GL,1675430426
69,tiksi,71.6872,128.8694,-37.22,99,82,1.43,RU,1675430428
70,shumikha,55.2261,63.2961,-16.61,90,52,2.35,RU,1675430429
71,umm kaddadah,13.6017,26.6876,28.36,9,91,7.24,SD,1675430429
72,le vauclin,14.5452,-60.8388,26.58,83,75,3.6,MQ,1675430430
73,severouralsk,60.1533,59.952,-9.27,96,95,1.15,RU,1675430430
74,remanso,-9.6179,-42.0831,29.16,54,19,5.28,BR,1675430432
75,saskylakh,71.9167,114.0833,-29.98,100,97,1.49,RU,1675430432
76,bredasdorp,-34.5322,20.0403,25.35,46,0,6.11,ZA,1675430433
77,along,28.1667,94.7667,16.37,47,5,0.53,IN,1675430433
78,paicandu,-23.4575,-52.0486,22.37,94,100,5.14,BR,1675430434
79,kamenka,51.3223,42.7678,-3.43,95,9,2.75,RU,1675430434
80,jamame,0.0722,42.7506,29.92,57,9,7.53,SO,1675430435
81,caravelas,-17.7125,-39.2481,30.31,51,1,3.3,BR,1675430436
82,maiduguri,11.8464,13.1603,34.72,11,46,6.18,NG,1675430436
83,hilo,19.7297,-155.09,22.93,90,100,0.89,US,1675430436
84,nouakchott,18.0858,-15.9785,26.96,24,100,3.87,MR,1675430437
85,sao filipe,14.8961,-24.4956,22.1,69,39,5.26,CV,1675430437
86,clyde river,70.4692,-68.5914,-29.87,63,75,5.14,CA,1675430438
87,leninskoye,41.7589,69.3864,3.46,96,100,1.54,KZ,1675430438
88,grindavik,63.8424,-22.4338,4.26,93,100,19.03,IS,1675430439
89,yellowknife,62.456,-114.3525,-24.71,77,75,3.09,CA,1675430439
90,snasa,64.2457,12.3778,-4.33,91,6,2.74,NO,1675430439
91,nyurba,63.2842,118.3319,-26.62,100,100,0.77,RU,1675430440
92,camopi,3.1655,-52.3158,24.73,89,94,1.63,GF,1675430293
93,norman wells,65.282,-126.8329,-34.98,68,75,0.0,CA,1675430440
94,rio grande,-32.035,-52.0986,27.06,73,65,2.04,BR,1675430441
95,baruun-urt,46.6806,113.2792,-18.33,87,13,2.77,MN,1675430441
96,guerrero negro,27.9769,-114.0611,12.99,57,27,2.09,MX,1675430442
97,nushki,29.5542,66.0215,18.11,43,5,1.11,PK,1675430442
98,bluff,-46.6,168.3333,16.74,96,100,2.53,NZ,1675430442
99,matagalpa,12.9256,-85.9175,20.45,94,75,8.23,NI,1675430443
100,kruisfontein,-34.0033,24.7314,26.05,52,22,6.05,ZA,1675430443
